variable,pct_nonnegative,n_nonnegative,n_numeric,n_rows,documentation_url,definition_lead
pargsc,13.936,23465,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/pargsc,RG Social Class: father's job    (BHPS)
paiscon,12.0206,20240,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/paiscon,International SOC (num): father's job    (BHPS)
j1seg,13.2186,22257,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/j1seg,Socio economic group: first job  (BHPS)
j1gold,11.0728,18644,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/j1gold,Goldthorpe Social Class: first job   (BHPS)
j1rgsc,13.2186,22257,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/j1rgsc,RG Social Class: first job   (BHPS)
j1cssm,11.0728,18644,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/j1cssm,Cambridge Scale males : first job    (BHPS)
j1cssf,11.0728,18644,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/j1cssf,Cambridge Scale females : first job  (BHPS)
j1hgs,11.0722,18643,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/j1hgs,Hope - Goldthorpe Scale : first job  (BHPS)
j1sec,13.3664,22506,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/j1sec,Socio-Economic Class: first job  (BHPS)
j1iscon,11.1292,18739,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/j1iscon,International SOC (num): first job   (BHPS)
coh1mr,3.0004,5052,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/coh1mr,Went on to marry first cohabitee (BHPS)
pidp_staypar,1.6469,2773,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/pidp_staypar,"Cross-wave person identifier, parent staying in the household (public release)"
pidp_leavepar,1.6469,2773,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/pidp_leavepar,"Cross-wave person identifier, parent leaving the household (public release)"
chalwayslvbp_dv,20.8152,35048,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/chalwayslvbp_dv,child always lived with both parents while in the study
