Variables with no matching questionnaire question text in the Wave 18 PDF.
(Derived, admin, grid aggregates, and renamed fields often have no verbatim question.)
Total dictionary variables (Pos. lines): 3973
Matched from PDF: 568
Not found in PDF: 3405

variable	variable_label
n_hcondcode84	Health condition: Cerebral palsy
n_hcondcode85	Health condition: Other brain/nerve condition
n_hcondcode86	Health condition: Problems with your spleen
n_hcondcode87	Health condition: Sickle cell disease
n_hcondcode88	Health condition: Very overweight (a BMI of 40 or above)
n_hcondcode89	Health condition: Generalised anxiety disorder
n_hcondcode97	Health condition: Other long standing/chronic condition
n_hcondcode96	Health condition: None of these
n_hconda01	Age told had health condition: Asthma
n_hconda03	Age told had health condition: Congestive heart failure
n_hconda04	Age told had health condition: Coronary heart disease
n_hconda05	Age told had health condition: Angina
n_hconda06	Age told had health condition: Heart attack or myocardial infarction
n_hconda07	Age told had health condition: Stroke
n_hconda08	Age told had health condition: Emphysema
n_hconda10	Age told had health condition: Hypothyroidism or an under-active thyroid
n_hconda11	Age told had health condition: Chronic bronchitis
n_hconda12	Age told had health condition: Any kind of liver condition
n_hconda15	Age told had health condition: Epilepsy
n_hconda16	Age told had health condition: High blood pressure
n_hconda19	Age told had health condition: Multiple sclerosis
n_hconda21	Age told had health condition: COPD (Chronic Obstructive Pulmonary Disease)
n_hconda23	Age told had health condition: Osteoarthritis
n_hconda24	Age told had health condition: Rheumatoid arthritis
n_hconda26	Age told had health condition: Bowel/colorectal cancer
n_hconda27	Age told had health condition: Lung cancer
n_hconda28	Age told had health condition: Breast cancer
n_hconda29	Age told had health condition: Prostate cancer
n_hconda30	Age told had health condition: Liver cancer
n_hconda31	Age told had health condition: Skin cancer or melanoma
n_hconda33	Age told had health condition: Type 1 diabetes
n_hconda34	Age told had health condition: Type 2 diabetes
n_hconda35	Age told had health condition: Gestational diabetes/during pregnancy
n_hconda38	Age told had health condition: Depression
n_hconda39	Age told had health condition: Psychosis or schizophrenia
n_hconda40	Age told had health condition: Bipolar disorder or manic depression
n_hconda41	Age told had health condition: Eating disorder
n_hconda42	Age told had health condition: Post-traumatic stress disorder
n_hconda66	Age told had a phobia
n_hconda67	Age told had panic attacks
n_hconda68	Age told had attention deficit hyperactivity disorder (ADHD) or attention defici
n_hconda69	Age told had post-natal depression
n_hconda70	Age told had dementia (including Alzheimer's)
n_hconda71	Age told had nervous breakdown
n_hconda72	Age told had a personality disorder
n_hconda73	Age told had obsessive compulsive disorder (OCD)
n_hconda74	Age told had seasonal affective disorder
n_hconda75	Age told had alcohol or drug dependence
n_hconda78	Age told had cystic fibrosis
