variable_id,description,pct_nonnegative
n_dissev5,How much difficulty do you have with Hearing,2.7799
n_dissev6,How much difficulty do you have with Sight,2.7269
n_dissev7,How much difficulty do you have with Communication,1.1333
n_dissev8,How much difficulty do you have with Memory,4.524
n_dissev9,How much difficulty do you have with recognising when you are in physical danger,0.6434
n_dissev10,How much difficulty do you have with Your physical co-ordination,4.6245
n_dissev11,How much difficulty do you have with Difficulties with own personal care,3.3839
n_dissev12,How much difficulty do you have with Other health problem or disability,7.7246
n_mhcond8,A phobia,39.2492
n_mhcond9,Panic attacks,39.2492
n_mhcond6,Post-traumatic stress disorder,39.2492
n_mhcond19,"Any other mental, emotional or neurological problem or condition",39.2492
n_mhcond10,Attention deficit hyperactivity disorder (ADHD) or Attention deficit disord,39.2492
n_mhcond4,Bipolar disorder (or 'manic depression'),39.2492
n_mhcond2,Depression,39.2492
n_mhcond11,Post-natal depression,39.2492
n_mhcond12,Dementia (including Alzheimer's),39.2492
n_mhcond5,An eating disorder,39.2492
n_mhcond13,Nervous breakdown,39.2492
n_mhcond14,A personality disorder,39.2492
n_mhcond3,Psychosis or schizophrenia,39.2492
n_mhcond15,Obsessive compulsive disorder (OCD),39.2492
n_mhcond16,Seasonal affective disorder,39.2492
n_mhcond17,Alcohol or drug dependence,39.2492
n_mhcond18,Any other anxiety disorder,39.2492
n_mhcond97,"Any other emotional, nervous or psychiatric problem or condition",14.9034
n_mhcond96,None of these,39.2492
n_hcond1,Diagnosed health conditions: Asthma,5.5427
n_hcond2,Diagnosed health conditions: Arthritis,5.5425
n_hcond3,Diagnosed health conditions: Congestive heart failure,5.5427
n_hcond4,Diagnosed health conditions: Coronary heart disease,5.5427
n_hcond5,Diagnosed health conditions: Angina,5.5427
n_hcond6,Diagnosed health conditions: Heart attack or myocardial infarction,5.5427
n_hcond7,Diagnosed health conditions: Stroke,5.5427
n_hcond8,Diagnosed health conditions: Emphysema,5.5427
n_hcond11,Diagnosed health conditions: Chronic bronchitis,5.5427
n_hcond21,Diagnosed health conditions: COPD (Chronic Obstructive Pulmonary Disease),7.1391
n_hcond28,Diagnosed health conditions: Breast cancer,14.9327
n_hcond10,Diagnosed health conditions: Hypothyroidism or an under-active thyroid,5.5427
n_hcond12,Diagnosed health conditions: Any kind of liver condition,5.5427
n_hcond13,Diagnosed health conditions: Cancer or malignancy,5.5427
n_hcond14,Diagnosed health conditions: Diabetes,5.5427
n_hcond15,Diagnosed health conditions: Epilepsy,5.5427
n_hcond16,Diagnosed health conditions: High blood pressure,5.5427
n_hcond19,Diagnosed health conditions: Multiple Sclerosis,5.977
n_hcond23,Diagnosed health conditions: Osteoarthritis,14.9327
n_hcond24,Diagnosed health conditions: Rheumatoid arthritis,14.9327
n_hcond29,Diagnosed health conditions: Prostate cancer,14.9327
